date,ticker,price,volume,daily_return,dividend,low_bid,high_ask,sp500_return,news_score,twitter_score,final_sentiment_score,sentiment_1d,sentiment_3d_avg,sentiment_7d_avg
08/08/2023,ORCL,115.23,4694781.0,-0.007493,,114.22,115.61,-0.004218,0.0,-0.3567958772182464,-0.1248785570263862,0.0,-0.041626185675462064,-0.019741262495517727
08/15/2023,ORCL,117.29,10412160.0,0.014883,,114.84,118.059,-0.011551,0.0,0.684466540813446,0.2395632892847061,-0.1248785570263862,0.03822824408610664,0.014482064545154574
08/23/2023,ORCL,117.84,16517285.0,0.011155,,112.1098,120.45,0.011045,0.0,0.0,0.0,0.2395632892847061,0.03822824408610664,-0.011536706984043113
08/29/2023,ORCL,120.65,11920537.0,0.032609,,118.53,121.2099,0.014508,0.0,0.0,0.0,0.0,0.0798544297615687,0.016383533179759987
09/01/2023,ORCL,120.93,6190045.0,0.004485,,120.09,121.69,0.001799,0.0,0.0,0.0,0.0,0.0,0.016383533179759987
09/05/2023,ORCL,123.98,11089638.0,0.025221,,121.18,124.28,-0.004194,0.4999977350234986,0.0,0.3249985277652741,0.0,0.1083328425884247,0.06281189428908486
09/11/2023,ORCL,126.71,22155564.0,0.003087,,124.72,127.415,0.006724,0.0,0.0,0.0,0.0,0.044262130061785365,0.10973031989165714
09/12/2023,ORCL,109.61,68605745.0,-0.134954,,107.3,113.3,-0.005696,0.1953716516494751,0.0,0.1269915735721588,-0.3233516007661819,-0.06545334239800771,0.03734662328447613
09/14/2023,ORCL,113.66,19849654.0,0.016273,,111.95,115.14,0.00843,0.0,0.0,0.0,-0.6499999225139618,-0.21666664083798726,-0.12090856424399785
10/09/2023,ORCL,110.32,6012363.0,0.003274,,109.47,110.97,0.006304,0.6691238284111023,0.0,0.4349304884672165,0.6445298731327057,0.35982012053330736,0.07949314466544559
10/20/2023,ORCL,101.85,21831362.0,-0.059904,,100.66,107.035,-0.012585,-0.9982569813728333,0.0,-0.6488670378923417,0.0,-0.0713121831417084,-0.031343799829483036
