date,ticker,price,volume,daily_return,dividend,low_bid,high_ask,sp500_return,news_score,twitter_score,final_sentiment_score,sentiment_1d,sentiment_3d_avg,sentiment_7d_avg,year,tic,datadate,fundamental_score,score_pe,score_pb,score_ev_ebitda,score_roce,score_margin,score_turnover,score_inventory,score_accruals,score_dte,score_cov,sentiment_verdict,final_verdict
2024-06-24,TGT,149.69,3933203.0,0.024362,,146.72,150.78999,-0.003065,0.0,0.8692589402198792,0.3042406290769577,0.0,0.1014135430256525,0.0434629470109939,2024,TGT,2024-01-31,0.5670351961028338,0.6664397549353301,0.3433242506811989,0.7510917030567685,0.6264406779661017,0.158998646820027,0.9600811907983762,0.4286703601108033,0.8991880920162382,0.2216949152542372,0.6144223693892568,Buy,Leaning Buy
2024-07-11,TGT,151.39999,4728715.0,0.036206,,146.5,151.89,-0.008763,0.0,0.1912691295146942,0.0669441953301429,0.2130212724208831,0.0933218225836753,0.0001888273017746,2024,TGT,2024-01-31,0.5670351961028338,0.6664397549353301,0.3433242506811989,0.7510917030567685,0.6264406779661017,0.158998646820027,0.9600811907983762,0.4286703601108033,0.8991880920162382,0.2216949152542372,0.6144223693892568,Hold,Hold
2024-08-30,TGT,153.62,3933162.0,0.001304,,152.19,154.14999,0.010093,0.0,0.6854771971702576,0.2399170190095901,0.0,-0.1348419845104218,0.0350577695029122,2024,TGT,2024-01-31,0.5670351961028338,0.6664397549353301,0.3433242506811989,0.7510917030567685,0.6264406779661017,0.158998646820027,0.9600811907983762,0.4286703601108033,0.8991880920162382,0.2216949152542372,0.6144223693892568,Buy,Leaning Buy
2024-09-05,TGT,151.89999,3358882.0,-0.003804,,150.67,153.55,-0.003018,0.0,0.3321906328201294,0.1162667214870452,0.0,0.1522194643815358,0.0995107731648853,2024,TGT,2024-01-31,0.5670351961028338,0.6664397549353301,0.3433242506811989,0.7510917030567685,0.6264406779661017,0.158998646820027,0.9600811907983762,0.4286703601108033,0.8991880920162382,0.2216949152542372,0.6144223693892568,Buy,Leaning Buy
2022-08-09,HRB,39.44,3808568.0,-0.019149,,39.08,40.56,-0.004249,1.0,0.0,0.65,0.0,0.4267802615960439,0.2757629139082772,2022,HRB,2022-04-30,0.5,,,,,,,,,,,Buy,Leaning Buy
2022-08-09,HRB,39.44,3808568.0,-0.019149,,39.08,40.56,-0.004249,1.0,0.0,0.65,0.0,0.4267802615960439,0.2757629139082772,2022,HRB,2022-06-30,0.5882111503575312,0.8073519400953029,0.0470027247956402,0.8784570596797671,0.92,0.6211096075778079,0.8092016238159675,0.8597645429362881,0.4201623815967523,0.0223728813559321,0.4966887417218543,Buy,Leaning Buy
2022-01-31,BK,59.26,6889484.0,0.013338,,57.55,59.33,0.018886,-0.9579238295555116,0.0,-0.6226504892110826,-0.5081519275903702,-0.3769341389338176,-0.2049643691096987,2022,BK,2022-12-31,0.5462517556340631,0.663716814159292,0.9066757493188012,0.25254730713246,0.3972881355932203,0.5115020297699594,0.050744248985115,0.7174515235457064,0.96617050067659,0.4501694915254237,,Sell,Leaning Sell
2022-04-06,BK,48.2,5110440.0,-0.015523,,47.955,48.73,-0.009717,-0.967287003993988,0.0,-0.6287365525960923,0.0,-0.2095788508653641,-0.0898195075137274,2022,BK,2022-12-31,0.5462517556340631,0.663716814159292,0.9066757493188012,0.25254730713246,0.3972881355932203,0.5115020297699594,0.050744248985115,0.7174515235457064,0.96617050067659,0.4501694915254237,,Sell,Leaning Sell
2022-04-18,BK,46.21,6036269.0,-0.022838,,44.9856,46.66,-0.000205,0.7510274052619934,0.0,0.4881678134202957,-0.1370258708794911,0.0030843360556496,-0.0448659307899929,2022,BK,2022-12-31,0.5462517556340631,0.663716814159292,0.9066757493188012,0.25254730713246,0.3972881355932203,0.5115020297699594,0.050744248985115,0.7174515235457064,0.96617050067659,0.4501694915254237,,Buy,Leaning Buy
2022-06-16,BK,41.21,5415901.0,-0.015763,,40.43,41.275,-0.032512,-0.9986444115638732,0.0,-0.6491188675165176,0.0,-0.0036769837141037,-0.0015758501631873,2022,BK,2022-12-31,0.5462517556340631,0.663716814159292,0.9066757493188012,0.25254730713246,0.3972881355932203,0.5115020297699594,0.050744248985115,0.7174515235457064,0.96617050067659,0.4501694915254237,,Sell,Leaning Sell
