tic,datadate,fundamental_score,score_pe,score_pb,score_ev_ebitda,score_roce,score_margin,score_turnover,score_inventory,score_accruals,score_dte,score_cov
ADP,2024-06-30,0.5373610371595878,0.3982300884955752,0.06267029972752047,0.4097525473071325,0.9803389830508474,0.7198917456021651,0.3193504736129905,0.8597645429362881,0.5020297699594046,0.4549152542372882,0.6666666666666666
BK,2021-12-31,0.3909775084523567,0.7161334240980259,0.8569482288828338,0.2016011644832606,0.3952542372881356,0.7895805142083897,0.018944519621109608,0.004155124653739612,0.044654939106901215,0.4915254237288136,
BK,2022-12-31,0.5462517556340631,0.663716814159292,0.9066757493188011,0.25254730713246,0.39728813559322035,0.5115020297699594,0.05074424898511502,0.7174515235457064,0.9661705006765899,0.45016949152542374,
BK,2023-12-31,0.5348932632247474,0.7338325391422736,0.8903269754768393,0.3136826783114993,0.4230508474576271,0.3721244925575101,0.08457374830852503,0.7188365650969529,0.8410013531799729,0.4366101694915254,
AIT,2022-06-30,0.54727642959819,0.7031994554118448,0.49182561307901906,0.7321688500727802,0.656271186440678,0.2496617050067659,0.9411366711772666,0.4023545706371191,0.13599458728010827,0.5030508474576272,0.6571008094186902
AIT,2023-06-30,0.5683719303083389,0.6439754935330156,0.4291553133514986,0.6950509461426492,0.736271186440678,0.2922868741542625,0.9451962110960758,0.41412742382271467,0.17185385656292285,0.607457627118644,0.7483443708609272
AIT,2024-06-30,0.5484279739965034,0.5575221238938053,0.37465940054495916,0.5458515283842795,0.7050847457627119,0.32543978349120434,0.9370771312584574,0.42382271468144045,0.1644113667117727,0.6542372881355932,0.7961736571008095
BDX,2022-09-30,0.39171083180548527,0.16337644656228723,0.5851498637602179,0.48034934497816595,0.19186440677966102,0.36129905277401897,0.3261163734776725,0.16551246537396122,0.6562922868741543,0.5471186440677966,0.44002943340691686
BDX,2023-09-30,0.37032771900370476,0.12049012933968684,0.5245231607629428,0.4192139737991266,0.21152542372881356,0.2821380243572395,0.33897158322056836,0.16759002770083103,0.7266576454668471,0.5376271186440678,0.3745401030169242
BDX,2024-09-30,0.3788760791246961,0.16473791695030637,0.5572207084468666,0.47088791848617173,0.20745762711864407,0.3186738836265223,0.32138024357239514,0.14681440443213298,0.7909336941813261,0.4596610169491525,0.3509933774834437
VZ,2021-12-31,0.5711014758120303,0.8325391422736556,0.5606267029972751,0.8522561863173217,0.43728813559322033,0.6366711772665764,0.33626522327469555,0.5886426592797784,0.9803788903924222,0.11254237288135593,0.37380426784400295
VZ,2022-12-31,0.590417862615047,0.8733832539142273,0.7200272479564033,0.8893740902474527,0.4074576271186441,0.6028416779431665,0.3301759133964817,0.6156509695290858,0.9776725304465494,0.14101694915254237,0.3465783664459161
VZ,2023-12-31,0.5439774181734196,0.7256637168141593,0.744550408719346,0.8973799126637555,0.39864406779661016,0.3301759133964817,0.3186738836265223,0.621191135734072,0.9918809201623816,0.15186440677966107,0.2597498160412068
BIO,2021-12-31,0.5055428345811037,0.9081007488087134,0.7595367847411444,0.14337700145560406,0.08949152542372882,0.9993234100135318,0.15290933694181327,0.11149584487534626,0.01691474966170503,0.912542372881356,0.9617365710080942
BIO,2022-12-31,0.48630373876123656,0.9353301565690946,0.8433242506811989,0.34425036390101893,0.10779661016949152,0.004736129905277402,0.19621109607577808,0.07756232686980609,0.8822733423545331,0.8203389830508474,0.6512141280353201
BIO,2023-12-31,0.4525502557934488,0.9509870660313138,0.9025885558583107,0.3864628820960698,0.0840677966101695,0.016914749661705007,0.21109607577807848,0.06786703601108034,0.6589986468200271,0.8101694915254237,0.43635025754231055
HRB,2022-04-30,,,,,,,,,,,
HRB,2022-06-30,0.5882111503575312,0.8073519400953029,0.04700272479564027,0.8784570596797671,0.92,0.6211096075778079,0.8092016238159675,0.8597645429362881,0.42016238159675234,0.022372881355932184,0.4966887417218543
HRB,2023-06-30,0.6021455541379493,0.8529611980939414,0.006130790190735702,0.9068413391557496,0.9328813559322033,0.6197564276048715,0.8423545331529093,0.8597645429362881,0.4262516914749662,0.0020338983050847137,0.5724797645327446
HRB,2024-06-30,0.5743273831600111,0.7474472430224642,0.011580381471389622,0.8209606986899564,0.9376271186440678,0.63531799729364,0.8376184032476319,0.8597645429362881,0.31799729364005414,0.0054237288135593476,0.5695364238410596
BA,2021-12-31,0.40953651167349214,0.9673247106875426,0.9502724795640327,0.005094614264919972,0.03389830508474576,0.036535859269282815,0.42963464140730717,0.03393351800554017,0.6329499323410013,0.967457627118644,0.03826342899190582
BA,2022-12-31,0.5422365306170984,0.9605173587474473,0.946866485013624,0.9985443959243085,0.029830508474576273,0.035182679296346414,0.47158322056833557,0.035318559556786706,0.9472259810554804,0.9627118644067797,0.034584253127299486
BA,2023-12-31,0.45965100972066236,0.9809394145677331,0.9529972752043596,0.018922852983988325,0.059661016949152545,0.05142083897158322,0.5500676589986468,0.037396121883656507,0.9451962110960758,0.9579661016949153,0.04194260485651214
BMY,2021-12-31,0.514453531764673,0.549353301565691,0.4318801089918256,0.8478893740902474,0.38169491525423727,0.5838971583220568,0.4025710419485792,0.29362880886426596,0.9519621109607578,0.29694915254237286,0.4047093451066961
BMY,2022-12-31,0.5057174945224286,0.44179714091218514,0.33855585831062673,0.8216885007278021,0.5016949152542373,0.5358592692828146,0.462787550744249,0.27493074792243766,0.9364005412719891,0.28135593220338984,0.46210448859455483
BMY,2023-12-31,0.5499132841366832,0.7351940095302927,0.45299727520435973,0.8799126637554585,0.43254237288135594,0.6779431664411367,0.4580514208389716,0.25761772853185594,0.9228687415426252,0.2427118644067796,0.4392935982339956
MTZ,2021-12-31,0.5148113222713236,0.5364193328795099,0.5470027247956404,0.7212518195050945,0.27932203389830507,0.16711772665764546,0.8349120433017592,0.6682825484764543,0.523680649526387,0.4094915254237288,0.4606328182487123
MTZ,2022-12-31,0.35789080763509923,0.01497617426820963,0.5926430517711172,0.524745269286754,0.08135593220338982,0.07307171853856563,0.8064952638700947,0.6668975069252078,0.45669824086603517,0.2759322033898305,0.08609271523178808
MTZ,2023-12-31,0.487652754767227,0.9857045609257998,0.6341961852861036,0.6193595342066958,0.06508474576271187,0.06765899864682003,0.8930987821380244,0.6835180055401662,0.6001353179972937,0.28067796610169493,0.047093451066961
CI,2021-12-31,0.5834763195628646,0.6984343090537781,0.7813351498637602,0.74745269286754,0.34576271186440677,0.12990527740189445,0.8403247631935047,0.649584487534626,0.7604871447902571,0.4833898305084746,0.3980868285504047
CI,2022-12-31,0.5630081923882895,0.6691626957113683,0.6362397820163488,0.6208151382823872,0.36406779661016947,0.15020297699594046,0.8843031123139378,0.639196675900277,0.7746955345060893,0.5050847457627119,0.38631346578366443
CI,2023-12-31,0.5933706234748237,0.6215112321307011,0.7036784741144414,0.7147016011644833,0.4094915254237288,0.11840324763193505,0.8924221921515562,0.6329639889196675,0.9309878213802436,0.5166101694915255,0.39293598233995586
CSX,2021-12-31,0.5003980578057943,0.4921715452688904,0.26430517711171664,0.517467248908297,0.5816949152542373,0.8843031123139378,0.2861975642760487,0.5817174515235457,0.7131258457374832,0.2569491525423728,0.4260485651214128
CSX,2022-12-31,0.5492922408614669,0.6535057862491491,0.31948228882833785,0.7139737991266375,0.6406779661016949,0.8585926928281461,0.3234100135317997,0.6052631578947368,0.7253044654939107,0.19796610169491524,0.45474613686534215
CSX,2023-12-31,0.5227690910106125,0.5793056501021103,0.2935967302452316,0.6703056768558953,0.6135593220338983,0.8247631935047361,0.3119079837618403,0.5761772853185596,0.7658998646820028,0.18305084745762712,0.4091243561442237
CACI,2022-06-30,0.5371109659271618,0.5970047651463581,0.6491825613079019,0.5698689956331877,0.3077966101694915,0.22124492557510148,0.7706359945872802,0.6502770083102493,0.486468200270636,0.48949152542372887,0.6291390728476821
CACI,2023-06-30,0.48189142843054605,0.5282505105513955,0.5987738419618529,0.5742358078602621,0.351864406779661,0.21515561569688768,0.7949932341001353,0.6412742382271468,0.17861975642760486,0.52,0.4157468727005151
CACI,2024-06-30,0.49012397228175775,0.4812797821647379,0.5497275204359673,0.5436681222707423,0.4128813559322034,0.2029769959404601,0.8410013531799729,0.6544321329639889,0.25778078484438427,0.5755932203389831,0.3818984547461369
STZ,2022-02-28,0.46669028837528426,0.9993192648059904,0.4632152588555858,0.50509461426492,0.4786440677966102,0.06630581867388363,0.3085250338294993,0.1530470914127424,0.8464140730717186,0.3864406779661017,0.459896983075791
STZ,2023-02-28,0.4360532317993826,0.9972770592239619,0.33719346049046317,0.47671033478893743,0.5077966101694915,0.06359945872801083,0.35994587280108253,0.1419667590027701,0.8504736129905277,0.21423728813559317,0.41133186166298746
STZ,2024-02-29,0.4256882383700673,0.3893805309734514,0.35286103542234337,0.4847161572052402,0.5322033898305085,0.6691474966170501,0.36197564276048716,0.13088642659279778,0.6596752368064953,0.2867796610169492,0.38925680647534955
CAH,2022-06-30,0.7295856135244542,0.9523485364193329,0.9686648501362398,0.4104803493449781,0.9138983050847458,0.06562922868741543,0.9945872801082544,0.5166204986149584,0.8930987821380244,0.9789830508474576,0.6015452538631346
CAH,2023-06-30,0.6450984744912269,0.04288631722260039,0.9516348773841962,0.30858806404657935,0.9993220338983051,0.06968876860622462,0.9993234100135318,0.528393351800554,0.8369418132611637,0.9430508474576271,0.7711552612214864
CAH,2024-06-30,0.6931191223492668,0.3485364193328795,0.9489100817438693,0.3347889374090247,0.9966101694915255,0.07374830852503383,1.0,0.5512465373961218,0.8558863328822733,0.9450847457627118,0.8763796909492274
CRS,2022-06-30,0.38455943741755505,0.9659632402995235,0.9080381471389646,0.26055312954876275,0.03728813559322034,0.05412719891745602,0.5899864682002707,0.21191135734072022,0.23139377537212447,0.5532203389830508,0.033112582781456956
CRS,2023-06-30,0.34312501529844563,0.1279782164737917,0.6927792915531334,0.5655021834061136,0.16271186440677965,0.10622462787550745,0.7171853856562923,0.22091412742382271,0.14749661705006767,0.5661016949152542,0.1243561442236939
